"_type","budget_dinner","budget_lunch","genre","name","reviewCount","score","score_dinner","score_lunch"
"dict","null"," ～￥999","カフェ・喫茶（その他）","
                ソイカフェ
              ","2","3.05","-","3.05"
"dict","null","null","寿司","
                鮨ダイニング いづみ
              ","null","-","-","-"
"dict","￥4,000～￥4,999"," ～￥999","イタリアン、西洋各国料理（その他）、ダイニングバー","
                TRES
              ","23","3.29","3.08","3.45"
"dict","￥2,000～￥2,999","￥1,000～￥1,999","カフェ","
                セーブポイント～夢見る白雪姫～
              ","null","-","-","-"
"dict","null"," ～￥999","デリカテッセン、コロッケ・フライ","
                和栗食肉店
              ","2","3.01","3.02","3.01"
"dict","￥2,000～￥2,999","null","ワインバー、バル・バール、カフェ","
                Fermata
              ","3","3.03","3.03","3.03"
"dict","￥3,000～￥3,999","null","焼鳥、ダイニングバー","
                トリロメオ
              ","34","3.43","3.43","3.00"
"dict","￥1,000～￥1,999"," ～￥999","中華料理","
                永福楼
              ","23","3.00","3.00","3.01"
"dict","null"," ～￥999","中国茶専門店","
                泰和商事
              ","4","3.05","3.04","3.03"
"dict","null"," ～￥999","その他","
                ナチュラル エッセイ
              ","10","3.06","-","3.06"
"dict"," ～￥999"," ～￥999","喫茶店","
                モデル
              ","15","3.08","3.02","3.08"
"dict","￥2,000～￥2,999","null","バー","
                Bar PANAS
              ","null","-","-","-"
"dict","null","null","紅茶専門店、喫茶店","
                フェアリー
              ","3","3.03","-","3.03"
"dict","null"," ～￥999","中国茶専門店、カフェ、中華菓子","
                鼎雲茶倉
              ","28","3.11","3.09","3.08"
"dict","￥3,000～￥3,999","￥1,000～￥1,999","イタリアン、ピザ、パスタ","
                クオ　ヴァディス
              ","54","3.52","3.50","3.50"
"dict","null"," ～￥999","喫茶店、甘味処","
                ひな
              ","1","3.01","-","3.01"
"dict"," ～￥999","null","弁当、カレーライス","
                小港橋商店
              ","5","3.07","-","3.07"
"dict","null"," ～￥999","その他","
                ファミリーマート 山下公園前店
              ","2","3.01","-","3.01"
"dict","￥1,000～￥1,999","null","台湾料理","
                中華料理 蓮香園
              ","22","3.00","3.00","3.00"
"dict"," ～￥999"," ～￥999","中華菓子、肉まん・中華まん","
                中華菜館 同發 新売店
              ","22","3.08","-","3.08"
"dict","￥15,000～￥19,999","null","ステーキ","
                ザッツ
              ","11","3.03","3.04","-"
"dict","￥2,000～￥2,999","null","バー","
                キウンクエ
              ","4","3.03","3.03","-"
"dict"," ～￥999"," ～￥999","パン、サンドイッチ、洋菓子（その他）","
                ポンパドウル 元町本店
              ","87","3.08","3.07","3.08"
"dict","￥2,000～￥2,999","null","焼肉、鉄板焼き、居酒屋","
                和三八
              ","6","3.03","3.00","3.04"
"dict","￥2,000～￥2,999"," ～￥999","バイキング、中華料理、四川料理","
                龍海飯店 大通り店
              ","null","-","-","-"
"dict","￥10,000～￥14,999","null","洋食・欧風料理（その他）","
                横浜マリンタワーホール
              ","1","-","-","-"
"dict","￥1,000～￥1,999","￥1,000～￥1,999","ハンバーガー、カフェ、バー","
                元町Bayside Cafe
              ","6","3.05","-","3.05"
"dict","￥5,000～￥5,999","null","焼肉","
                炭火焼肉 金龍
              ","5","3.05","3.05","-"
"dict","￥6,000～￥7,999","￥1,000～￥1,999","イタリアン、紅茶専門店、ピザ","
                KANDY
              ","51","3.54","3.52","3.50"
"dict"," ～￥999"," ～￥999","飲茶・点心、カフェ、中国茶専門店","
                元祖フカヒレまんの公生和
              ","55","3.50","3.22","3.41"
"dict","null","null","寿司","
                すし処錦
              ","null","-","-","-"
"dict","￥2,000～￥2,999"," ～￥999","中華料理、飲茶・点心、北京料理","
                東林
              ","72","3.50","3.35","3.51"
"dict","￥2,000～￥2,999","￥2,000～￥2,999","中華料理","
                龍翔記
              ","21","3.00","3.00","3.00"
"dict","null"," ～￥999","飲茶・点心、中華菓子、中華料理","
                四五六菜館 土産館
              ","11","3.00","3.02","3.00"
"dict","￥1,000～￥1,999","￥2,000～￥2,999","そば、天ぷら","
                手打ち蕎麦切り　海望
              ","67","3.66","3.58","3.59"
"dict","￥1,000～￥1,999","￥1,000～￥1,999","台湾料理、薬膳、創作料理","
                カンフーキッチン 工夫厨房
              ","4","3.04","-","3.05"
"dict","￥1,000～￥1,999","￥1,000～￥1,999","ラーメン、中華料理、定食・食堂","
                日高屋 石川町店
              ","10","3.00","3.00","3.00"
"dict","￥4,000～￥4,999","null","レストラン（その他）、洋食","
                クリフサイド
              ","7","3.06","3.06","-"
"dict","null","null","旅館・オーベルジュ（その他）","
                エスカル 横浜
              ","1","-","-","-"
"dict","null","￥1,000～￥1,999","中国茶専門店、中華菓子、ケーキ","
                中華食材隆記
              ","7","3.07","3.05","3.07"
"dict","null"," ～￥999","飲茶・点心、肉まん・中華まん、デリカテッセン","
                富貴包子楼 横浜中華街大世界店
              ","42","3.07","3.03","3.09"
"dict","￥2,000～￥2,999"," ～￥999","そば、天ぷら","
                手打ちそば 花潮
              ","8","3.03","-","3.04"
"dict","null"," ～￥999","ソフトクリーム、カフェ","
                杉養蜂園 横浜元町店
              ","8","3.04","-","3.04"
"dict","null","null","居酒屋、焼鳥、創作料理","
                ふう
              ","null","-","-","-"
"dict","null","￥1,000～￥1,999","レストラン（その他）","
                Ｙｏｕカフェレストラン
              ","1","-","-","-"
"dict","null"," ～￥999","肉まん・中華まん、かき氷","
                QQ屋台屋
              ","81","3.56","3.16","3.56"
"dict","￥2,000～￥2,999"," ～￥999","北京料理、餃子、中華料理","
                蓬莱閣
              ","63","3.22","3.00","3.22"
"dict","￥10,000～￥14,999","￥2,000～￥2,999","寿司、懐石・会席料理、魚介料理・海鮮料理","
                寿司割烹 心
              ","1","-","-","-"
"dict","￥2,000～￥2,999","￥1,000～￥1,999","中華料理、広東料理、餃子","
                横浜中華街 五福臨
              ","26","3.00","3.00","3.00"
"dict","￥5,000～￥5,999","￥2,000～￥2,999","広東料理、中華麺（その他）","
                中華菜館 同發 本館
              ","248","3.60","3.60","3.59"
"dict"," ～￥999"," ～￥999","カフェ、コーヒー専門店、ケーキ","
                CAFE　SUMIRE
              ","28","3.38","3.15","3.39"
"dict"," ～￥999"," ～￥999","ラーメン、餃子、居酒屋","
                喜多方ラーメン 坂内 石川町店
              ","74","3.32","3.09","3.27"
"dict","null"," ～￥999","カフェ","
                ドトールコーヒーショップ 石川町店
              ","11","3.01","3.01","3.01"
"dict"," ～￥999"," ～￥999","ハンバーガー、カフェ","
                マクドナルド 山下公園前店
              ","18","3.01","3.02","3.01"
"dict","null"," ～￥999","喫茶店、中国茶専門店、スイーツ（その他）","
                アジアン★パラダイス
              ","2","3.01","3.02","3.01"
"dict","￥2,000～￥2,999","null","ダイニングバー、立ち飲み居酒屋・バー、バル・バール","
                鯖寅果実酒商店
              ","39","3.58","3.58","-"
"dict"," ～￥999"," ～￥999","担々麺","
                王朝
              ","54","3.16","3.08","3.11"
